cafe_id,디저트,다양한 메뉴,특별한 메뉴,쾌적한 매장,야외 배경,주차,대화,집중,트렌디,독특,"선물, 포장",액티비티
54,2.666666666666667,1.0,2.666666666666667,1.0,1.3333333333333333,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.0
56,1.679245283018868,1.0,1.1886792452830188,1.0,1.0,1.150943396226415,2.0943396226415096,1.4528301886792452,2.4339622641509435,1.0,1.0,1.0
57,1.3333333333333333,1.0,2.166666666666667,1.5694444444444444,1.1666666666666667,1.0,1.8333333333333335,1.3333333333333333,2.0,1.0,1.0,1.0
58,2.12,1.0,1.48,1.0,1.48,1.0,1.32,1.0,2.6,1.0,1.0,1.0
59,2.2941176470588234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.7058823529411766,1.0,1.0,1.0
60,3.0444444444444443,1.0,1.2666666666666666,1.0,1.0,1.0,2.333333333333333,1.0,1.3555555555555556,1.0,1.0,1.0
61,1.717948717948718,1.0,1.564102564102564,1.0,1.205128205128205,1.0,2.1794871794871797,1.6666666666666665,1.6666666666666665,1.0,1.0,1.0
62,2.3658536585365857,1.0,1.4878048780487805,1.0,1.2926829268292683,1.0,1.8780487804878048,1.4878048780487805,1.4878048780487805,1.0,1.0,1.0
63,2.4054054054054053,1.0,1.7567567567567566,1.0,1.0,1.0,1.5405405405405403,1.2162162162162162,2.0810810810810807,1.0,1.0,1.0
65,2.7142857142857144,1.0,2.7142857142857144,1.0,1.0,1.0,1.0,1.0,1.5714285714285714,1.0,1.0,1.0
67,1.9230769230769231,1.0,1.0,1.0,1.9230769230769231,1.0,2.230769230769231,1.0,1.9230769230769231,1.0,1.0,1.0
68,1.6666666666666665,1.0,1.5,1.0,1.0,1.0,2.166666666666667,1.1666666666666667,2.5,1.0,1.0,1.0
69,2.557894736842105,1.107177033492823,1.9684210526315788,1.0,1.0842105263157895,1.0421052631578946,1.5473684210526315,1.3368421052631578,1.4210526315789473,1.0,1.0,1.0
73,1.7567567567567568,1.0,1.6486486486486487,1.0,1.1081081081081081,1.0,1.4324324324324325,2.1891891891891895,1.864864864864865,1.0,1.0,1.0
74,2.1304347826086953,1.0,1.1739130434782608,1.0,1.0,1.0,1.2608695652173914,1.1739130434782608,3.260869565217391,1.0,1.0,1.0
75,2.8461538461538463,1.0,1.6153846153846154,1.0,1.0,1.3076923076923077,1.6153846153846154,1.1538461538461537,1.4615384615384617,1.0,1.0,1.0
76,1.129032258064516,1.0,1.129032258064516,1.0,1.0,1.0,1.903225806451613,1.2580645161290323,3.580645161290322,1.0,1.0,1.0
77,2.333333333333334,1.0,1.0,1.0,1.0,1.8888888888888888,2.7777777777777777,1.0,1.0,1.0,1.0,1.0
78,2.327188940092166,1.093841642228739,1.5161290322580645,1.0,1.1658986175115207,1.0184331797235022,1.1474654377880185,1.3502304147465438,2.4377880184331797,1.0,1.0,1.0
79,1.3846153846153846,1.0,1.4615384615384617,1.0,1.2307692307692308,1.0,1.6153846153846154,1.5384615384615383,2.769230769230769,1.0,1.0,1.0
80,2.4545454545454546,1.0,1.5454545454545454,1.0,1.0,1.0,1.9090909090909092,1.5454545454545454,1.5454545454545454,1.0,1.0,1.0
81,2.073170731707317,1.0,1.181184668989547,1.0,1.21602787456446,1.9128919860627178,1.6480836236933798,1.5226480836236935,1.445993031358885,1.0,1.0,1.0
82,2.533333333333333,1.0,1.5333333333333332,1.0,1.1333333333333333,1.1333333333333333,1.6,1.1333333333333333,1.9333333333333333,1.0,1.0,1.0
83,1.6625258799171843,1.0,1.1490683229813665,1.0,1.1325051759834368,2.05175983436853,1.8944099378881987,1.3892339544513457,1.720496894409938,1.0,1.0,1.0
84,2.793103448275862,1.702194357366771,1.6896551724137931,1.0,1.0,1.2758620689655173,1.2758620689655173,1.0,1.5517241379310345,1.0,1.3275862068965516,1.0
87,2.5172413793103448,2.404388714733542,1.6896551724137931,1.0,1.0,1.0,1.8275862068965516,1.0,1.4137931034482758,1.0,1.0,1.0
88,2.7142857142857144,1.0,2.428571428571429,1.0,1.0,1.0,1.5714285714285714,1.0,1.2857142857142856,1.0,1.0,1.0
90,1.9510489510489508,1.0,1.167832167832168,1.0,1.0419580419580419,1.055944055944056,2.0769230769230766,2.2867132867132867,1.4195804195804196,1.0,1.0,1.0
92,1.4210526315789473,1.0,1.131578947368421,1.0,2.236842105263158,1.0526315789473684,1.2105263157894737,1.0526315789473684,2.894736842105263,1.0,1.0,1.0
94,1.2666666666666666,1.0,1.4,1.0,1.0,1.5333333333333332,2.7333333333333334,1.5333333333333332,1.5333333333333332,1.0,1.0,1.0
96,1.6896551724137931,1.0,1.4137931034482758,1.0,1.1379310344827587,1.1379310344827587,2.103448275862069,1.4137931034482758,2.103448275862069,1.0,1.0,1.0
97,3.1333333333333333,1.0,1.8,1.0,1.0,1.0,1.0,1.2666666666666666,1.8,1.0,1.0,1.0
99,1.6007604562737643,1.0,1.3650190114068441,1.0,1.1596958174904943,1.0,1.4866920152091254,1.2661596958174905,3.1216730038022815,1.0,1.0,1.0
100,1.5625,1.0,1.5,1.0,1.25,1.0625,2.125,1.25,2.25,1.0,1.0,1.0
101,1.2999999999999998,1.0,3.6,1.0,1.1,1.05,1.15,1.15,1.65,1.0,1.0,1.0
102,2.7142857142857144,1.0,1.5714285714285714,1.0,1.0,1.0,1.2857142857142856,1.0,1.0,1.0,4.392857142857142,1.0
104,2.0625,1.0,1.375,1.0,1.0,1.0,1.6875,1.5625,2.3125,1.0,1.0,1.0
105,1.7619047619047619,1.0,2.5238095238095237,1.0,1.0,1.1904761904761905,1.5714285714285716,1.1904761904761905,1.7619047619047619,1.0,1.0,1.0
106,1.425531914893617,1.0,2.5319148936170213,1.0,1.1702127659574468,1.7659574468085106,1.3404255319148937,1.0,1.7659574468085106,1.0,1.0,1.0
107,2.0246305418719213,1.0,2.0246305418719213,1.0,1.0788177339901477,1.0,1.2955665024630543,1.0394088669950738,2.5172413793103448,1.0591133004926108,1.0,1.0
108,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,2.655172413793103,1.0,1.8275862068965516,1.0,1.0689655172413792,1.206896551724138,1.206896551724138,1.0689655172413792,1.9655172413793105,1.0,1.0,1.0
111,1.9876543209876543,1.0,1.4938271604938271,1.0,1.0987654320987654,1.0493827160493827,1.5925925925925926,1.0493827160493827,2.7283950617283947,1.0,1.0,1.0
113,2.7142857142857144,1.0,1.0,1.0,1.0,1.0,1.8571428571428572,1.0,2.4285714285714284,1.0,1.0,1.0
114,3.814814814814815,1.0,1.8888888888888888,1.0,1.0,1.1481481481481481,1.0,1.0,1.1481481481481481,1.0,1.0,1.0
115,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
116,1.810996563573883,1.0,1.1237113402061856,1.0,1.261168384879725,2.1958762886597936,1.8384879725085912,1.2061855670103092,1.5635738831615118,1.0,1.0,1.0
117,2.7391304347826084,1.0,1.0,1.0,1.0,1.0,2.91304347826087,1.3478260869565217,1.0,1.0,1.0,1.0
118,1.8676345004269854,1.0,1.3245089666951322,1.0116709365214915,1.2220324508966696,1.4918872758326218,1.7788215200683175,1.6421861656703671,1.6660973526900085,1.0,1.0,1.0556301085763085
119,1.5,1.0,1.2692307692307692,1.0,1.9615384615384617,1.5769230769230769,1.6923076923076925,1.0,2.0,1.0,1.0,1.0
120,2.6969696969696972,1.0,1.121212121212121,1.0,1.0,1.0,1.4848484848484849,1.2424242424242424,1.606060606060606,1.0,3.015151515151515,1.0
121,2.8181818181818175,1.4628099173553717,1.727272727272727,1.0,1.0,1.0,1.5454545454545454,1.0,1.5454545454545454,1.0,1.4318181818181817,1.0
123,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,4.012987012987013,1.0,1.987012987012987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,3.285714285714286,1.0,1.8571428571428572,1.0,1.0,1.0,1.8571428571428572,1.0,1.0,1.0,1.0,1.0
126,2.6000000000000005,1.0,1.8000000000000003,1.0,1.0,1.0,2.333333333333333,1.0,1.2666666666666666,1.0,1.0,1.0
127,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
129,1.0,1.0,1.0,1.0,1.0,1.0,2.8181818181818183,1.0,3.1818181818181817,1.0,1.0,1.0
130,2.5384615384615383,1.0,1.1538461538461537,1.0,1.0,1.0,1.6153846153846154,1.4615384615384615,2.230769230769231,1.0,1.0,1.0
131,1.1,1.0,1.1,1.0,2.3,1.2,2.0,1.2,2.1,1.0,1.0,1.0
132,2.92,1.0,1.16,1.0,1.16,1.0,1.8,1.0,1.96,1.0,1.0,1.0
133,1.2857142857142856,1.0,1.4285714285714286,1.0,1.1428571428571428,1.0,2.142857142857143,1.0,3.0,1.0,1.0,1.0
136,1.8,1.0,2.2,1.0,1.0,1.0,1.8,1.4,1.8,1.0,1.0,1.0
137,3.6666666666666665,1.0,1.6666666666666665,1.0,1.0,1.6666666666666665,1.0,1.0,1.0,1.0,1.0,1.0
138,2.2368148914167527,1.0210585691454357,2.216132368148914,1.0,1.0372285418821097,1.0,1.5336091003102377,1.09100310237849,1.8769389865563597,1.0,1.0,1.0
141,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142,1.0,1.0,2.7142857142857144,1.0,1.0,1.0,1.7142857142857144,1.0,2.571428571428571,1.0,1.0,1.0
143,2.214723926380368,1.0,1.756646216768916,1.0,1.2740286298568506,1.0122699386503067,1.2044989775051125,1.032719836400818,2.4928425357873207,1.0368098159509203,1.0,1.0
144,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145,2.9999999999999996,1.0,1.7499999999999998,1.0,1.0,1.0,1.625,1.25,1.375,1.0,1.0,1.0
147,2.981651376146789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.018348623853211,1.0,1.0,1.0
148,1.3380281690140845,1.0,1.5070422535211268,1.0,1.0,1.056338028169014,1.8169014084507042,2.267605633802817,2.0140845070422535,1.0,1.0,1.0
149,3.3333333333333335,1.0,2.0,1.0,1.3333333333333333,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0
150,4.111111111111112,1.0,1.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
152,2.5999999999999996,1.0,1.0,1.0,1.0,1.0,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.0,1.0,1.0
153,1.736842105263158,1.0,1.4210526315789473,1.0,1.2105263157894737,1.0,1.263157894736842,1.1052631578947367,3.263157894736842,1.0,1.0,1.0
